DATE_TIME,EVENT
776 p.n.e., Pierwsze igrzyska olimpijskie
753 p.n.e., Założenie Rzymu
509 p.n.e., Ogłoszenie Rzymu republiką
490 p.n.e., Bitwa pod Maratonem
480 p.n.e., Bitwa pod Termopilami
264 p.n.e. - 146 p.n.e., Wojny punickie (Rzym vs Kartagina) 
216 p.n.e, Bitwa pod Kannami
73 p.n.e. - 71 p.n.e., Powstanie niewolników pod wodzą Spartakusa
30 p.n.e., ogłoszenie Rzymu cesarstwem
313, ogłoszenie chcrześcijaństwa wolną religią
395, Podział Rzymu na cesarstwo wschodnio- i zachodniorzymskie
476, Upadek cesarstwa zachodniorzymskiego (koniec starożytności)
800, Koronacja Karola Wielkiego
843, Podział państwa Franków
966, Chrzest Polski (Mieszko I)
972, Bitwa pod Cedynią o Pomorze Zachodnie
1000, Zjazd w Gnieźnie (Otto III i Bolesław Chrobry)
1025, Koronacja Bolesława Chrobrego
1054, Schizma wschodnia - pierwszy podział chrześcijaństwa
1122, Sobór w Wormacji (koniec sporu papiestwa i cesarstwa o inwestyturę)
1138, Rozbicie dzielnicowe (testament Bolesława Krzywoustego)
1226, sprowadzenie Krzyżaków do Polski
1241, Bitwa pod Legnicą
1308, Utrata Pomorza Gdańskiego (Władysław Łokietek)
1320, Koronacja Władysława Łokietka  koniec rozbicia dzielnicowego
1331, Nierozstrzygnięta bitwa pod Płowcami (Polacy vs Krzyżacy)
1343, Pokój w Kaliszu
1364, Kazimierz Wielki zakłada Akademię Krakowską
1370, Koniec dynastii Piastów
1374, Przywilej koszycki dla szlachty (Ludwik Węgierski)
1385, Unia polsko-litewska w Krewie
1409 - 1411, Wielka wojna z zakonem krzyżackim
1410, Bitwa pod Grunwaldem (Jagiełło)
1411, I pokój toruński
1435, Pokój w Brześciu (Krzyżacy i Polska)
1440, Powstanie Związku Pruskiego
1444, Bitwa pod Warną i śmierć Władysława Warneńczyka
1450, Wynalezienie druku przez Jana Gutenberga
1453, Upadek Konstantynopola
1454, Inkorporacja Prus przez Kazimierza Jagiellończyka
1454, Przywilej cerkwicko-nieszawski
1454 - 1466, Wojna trzynastoletnia
1466, drugi pokój toruński
1492, Odkrycie Ameryki przez Krzysztofa Kolumba
1505, Konstytucja nihil novi (Zygmunt Stary)
1517, Początek reformacji
1525, Hołd pruski Hohenzollerna przed Zygmuntem Starym
1545, Sobór trydencki - kontrreformacja
1555, Pokój w Augsburgu
1569, Unia lubelska (Zygmunt August)
1572, Koniec dynastii Jagiellonów
1573, Pierwsza wolna elekcja
1596, Unia brzeska - powstaje kościół unicki
1618 - 1648, Wojna trzydziestoletnia na tle religijnym
1620, Bitwa pod Cecorą Polski z Turcją
1648, Powstanie kozackie Chmielnickiego (Jan Kazimierz)
1654, Ugoda perejasławska pomiędzy Kozakami a Rosją
1655 - 1660, Potop szwedzki (Jan Kazimierz)
1672, Pokój w Buczaczu pomiędzy Turcją a Polską (Wiśniowiecki)
1683, Bitwa pod Wiedniem
1717, Sejm Niemy
1732, Traktat trzech czarnych orłów
1764, Ostatnia wolna elekcja (SA Poniatowski)
1768, Konfederacja barska
1772, I rozbiór Polski
1773, Utworzenie Komisji Edukacji Narodowej
1773, Herbatka bostońska
1776, Deklaracja Niepodległości Stanów Zjednoczonych
1787, Konstytucja Stanów Zjednoczonych
1788 - 1792, Sejm Wielki (czteroletni)
1789, Rewolucja Francuska
1791, Konstytucja 3 maja
1792, Konfederacja targowicka
1793, Drugi rozbiór Polski
1794, Insurekcja kościuszkowska  bitwa pod Racławicami  uniwersał połaniecki
1795, Trzeci rozbiór Polski
1799, Napoleon dokonuje zamachu stanu koniec rewolucji francuskiej
1805, Powstanie Cesarstwa Francuzów
1807, Pokój w Tylży - utworzenie Księstwa Warszawskiego
1809, Powiększenie Księstwa Warszawskiego
1812, Wyprawa Napoleona na Rosję
1813, Bitwa pod Lipskiem
1815, Sto dni Napoleona  bitwa pod Waterloo
1815, Kongres wiedeński
1830, Powstanie listopadowe
1846, Powstanie krakowskie i rabacja galicyjska
1848, Wiosna Ludów
1861 - 1865, Wojna secesyjna
1861, Powstanie zjednoczonych Włoch
1863, Powstanie styczniowe
1867, Powstanie Austro-Węgier i autonomia Galicji
1871, Zjednoczenie Niemiec
1882, Powstanie trójprzymierza
1901, Strajk dzieci we Wrześni
1905, Krwawa niedziela i rewolucja w Rosji
1907, Ostateczne ukształtowanie się trójporozumienia
1914 - 1918, Pierwsza wojna światowa
1917, Rewolucja lutowa i przewrót bolszewicki
1918, Odzyskanie niepodległości przez Polskę
622, Hidżra - początek islamu
1939 - 1945,Druga wojna światowa
